"WT.GSM130365","WT.GSM130366","WT.GSM130367","KO.GSM130368","KO.GSM130369","KO.GSM130370"
548.9,523.2,534.8,1050.6,959,1116.4
1012.6,1199,1113.3,1868,2115.7,2141.3
4367.8,4292.9,4149.9,4786.4,4851.2,5034.5
669.9,775.1,688.8,503.3,483,408.4
183.7,199.2,80.6,391.5,567.2,534.9
630.7,608.2,651,529,516.9,559.9
476,449.3,411.5,192.2,240.6,263.5
2369.6,2304.1,2365.4,1639.3,1609.9,1659.7
2168.4,2416.9,2053.2,1114.9,1189.1,1289.1
4829.6,4672.5,4966.3,6405.3,6560.5,6953.3
831.4,763.5,734.9,1140.7,1128.6,1223.6
662.2,471.2,570.9,902.6,1091.3,1116.9
292.5,298.3,319.1,255.5,222.3,229.8
485.9,424.9,434.9,196.4,152.2,210.9
4607,4103.1,4489.9,2647.3,2669.1,2519.3
22.2,27.1,28.6,332.5,301.7,280.9
813.2,799.9,757.4,472.9,520.9,600.6
3184.8,2975.9,2969.7,2263.6,2381.7,2521.3
680.2,739.3,599,1696.1,1830.2,1723.8
5460.7,5549.2,5173,10833.1,11616.2,11680
3.4,11.9,6.7,31.4,28.4,41.8
110.7,102.4,89.3,40.1,52.9,36.8
55,67.8,51.1,2.7,4,15.4
565.1,449.7,424.9,885.2,881.7,917
671.5,578.9,654,364.8,426.6,466.6
1119.6,1264.5,1013.4,570.2,536.6,643.9
576.6,601.3,660.6,817.2,833.9,869.6
49.1,72.3,41.8,202.5,222.1,191.5
757.8,956.6,923.7,1721.1,1666.1,1553.7
76.3,69.2,72.1,19.2,16.7,8.5
18.2,15.2,18.5,9.6,8.5,7.5
2358.5,2309.9,2245.5,1889.1,1710.3,1684.5
14.5,13.5,12.5,42.8,46.7,46
16,14.9,12.2,70.9,63.3,60.1
356.4,378.6,423.4,208.4,282.8,237
211.7,232.1,183.5,112.3,138.6,105.2
893.2,751.9,771.6,1047.4,1189.4,1193.7
620.5,677,712.9,973.7,1073.1,1014.1
1846,2065,2219.6,1369.5,1072.6,1251.5
127.6,121.8,114.5,37.4,27.2,59.9
379.9,355.3,401.2,135.8,185.3,214.4
869.1,1011.6,928.7,1329.9,1224.8,1198.8
155.8,127.1,194.7,310.3,344.8,291.6
2334.4,2301,2220,1661,1653.4,1690.3
446.3,453.8,557,2090.2,2066.9,2057.8
